Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Salary,Spending_Score,Family_Size
Male,Yes,27,1,Homemaker,5-10,23209.292822206702,Low,3.0
Male,Yes,35,1,Healthcare,10-20,35681.3156634526,Low,3.0
Female,Yes,43,0,Lawyer,10-20,19292.66928757815,High,2.0
Male,Yes,56,1,Artist,+20,18312.957508741292,Average,4.0
Male,Yes,32,1,Executive,5-10,26836.38862160185,High,3.0
Male,Yes,38,1,Lawyer,10-20,30675.559853460836,Low,5.0
Male,No,30,0,Executive,0-5,24617.235283240254,Low,5.0
Male,Yes,46,1,Artist,10-20,47417.73241575785,Low,3.0
Male,Yes,29,0,Lawyer,5-10,19514.436960259198,Low,1.0
Male,No,23,1,Artist,5-10,15411.383652376018,Low,2.0
Female,Yes,26,1,Artist,0-5,21882.879288673234,Average,6.0
Female,Yes,43,1,Engineer,5-10,26636.961899714814,Average,2.0
Female,No,27,0,Homemaker,5-10,13787.960728817465,Low,
Female,No,57,1,Artist,10-20,34642.07896876118,Low,1.0
Female,No,56,1,Lawyer,10-20,59156.49716243064,Low,1.0
Male,Yes,50,1,Artist,10-20,35055.66899081279,Low,4.0
Female,Yes,33,1,Artist,10-20,18949.463943829454,Average,3.0
Female,,18,1,Artist,5-10,12410.321884494955,Low,4.0
Male,Yes,50,0,Executive,+20,60744.82903446267,High,6.0
Male,Yes,48,0,Lawyer,5-10,34777.73858027657,Low,1.0
Male,Yes,57,1,Artist,10-20,68344.17604175957,Low,
Female,No,31,0,Artist,5-10,9385.918934707845,Low,1.0
Male,No,59,1,Entertainment,10-20,61341.8533706994,Low,4.0
Male,Yes,43,0,Executive,10-20,24024.552725808397,High,3.0
Female,No,49,1,Artist,+20,37066.19235576325,Low,2.0
Male,Yes,42,1,Artist,10-20,25048.41334432782,Average,4.0
Male,No,49,0,Doctor,+20,55104.196020273856,Low,2.0
Female,No,18,0,Marketing,5-10,12979.913436800536,Low,7.0
Male,No,48,0,Healthcare,+20,51067.999690261364,Low,9.0
Male,Yes,46,1,Doctor,5-10,32784.203899634565,Average,2.0
Male,Yes,28,1,Artist,0-5,24652.559534484844,Low,1.0
Female,No,18,0,Entertainment,10-20,10954.122626335633,Low,5.0
Male,Yes,51,1,Entertainment,0-5,59347.863869994704,Average,2.0
Female,No,49,1,Artist,+20,17373.099577623565,Low,1.0
Female,No,42,1,Healthcare,5-10,32586.084909915036,Low,1.0
Male,No,57,1,Marketing,+20,73336.22503688882,Low,2.0
Male,Yes,31,0,Executive,5-10,21524.32852014713,Average,3.0
Male,Yes,47,1,Healthcare,10-20,26831.771027953942,Low,1.0
Male,No,23,1,Artist,0-5,17572.75707975658,Low,2.0
Male,No,26,1,Artist,5-10,17053.436591359998,Low,2.0
Male,Yes,39,0,Executive,10-20,38923.60137837513,High,9.0
Male,Yes,40,1,Artist,10-20,20779.744646804065,Average,4.0
Female,Yes,41,1,Artist,10-20,43729.14980248182,High,2.0
Male,No,56,1,Artist,+20,52816.664551404094,Low,1.0
Female,Yes,37,1,Lawyer,10-20,35424.31888786722,High,3.0
Female,Yes,34,1,Healthcare,+20,36979.94462914439,Average,2.0
Male,Yes,34,1,Artist,+20,21145.13165281662,Average,2.0
Female,Yes,54,1,Marketing,+20,29707.17470375715,Low,1.0
Male,Yes,22,0,Marketing,5-10,14949.670722424533,High,4.0
Female,No,25,0,Healthcare,5-10,20833.924870449475,Low,4.0
Male,No,18,1,Doctor,5-10,23395.57775412508,Low,1.0
Male,Yes,40,1,Artist,5-10,222082.82292610034,Average,4.0
Female,No,42,0,Homemaker,10-20,16170.59529373485,Low,
Female,Yes,52,1,Lawyer,+20,50277.814387753584,High,2.0
Male,No,44,0,Healthcare,5-10,29056.858467324197,Low,4.0
Female,No,56,1,Healthcare,10-20,66917.47871676326,Low,1.0
Female,Yes,37,1,Artist,10-20,27285.127380525948,Average,3.0
Female,No,31,1,Healthcare,10-20,18616.980536674877,Low,4.0
Female,No,49,1,Artist,10-20,21334.18158477792,Low,1.0
Female,No,31,1,Doctor,10-20,23915.17641160595,Low,3.0
Male,Yes,34,1,Entertainment,5-10,19176.06225119729,Average,4.0
Male,No,59,0,Healthcare,10-20,75806.56051644222,Low,4.0
Male,No,21,1,Artist,5-10,15420.900988281775,Low,1.0
Male,Yes,43,1,Doctor,5-10,51313.6126738817,Average,2.0
Male,No,22,0,Healthcare,10-20,15874.737399998543,Low,
Female,Yes,25,1,Artist,0-5,21294.36186764537,Average,2.0
Female,No,29,1,Engineer,0-5,19121.42713790873,Low,
Male,Yes,31,1,Artist,10-20,14612.764248442265,Average,4.0
Male,Yes,27,0,Entertainment,5-10,15352.143633107018,Average,3.0
Male,Yes,27,0,Entertainment,0-5,15712.74940638859,Low,
Female,No,27,1,Engineer,0-5,20994.69605108971,Low,5.0
Female,No,34,1,Homemaker,+20,31735.365395827208,Low,
Male,Yes,57,0,Engineer,+20,70865.11180959808,Average,3.0
Male,Yes,52,1,Executive,+20,50196.124356996195,High,4.0
Female,Yes,36,0,Homemaker,10-20,12820.139841117934,Average,2.0
Male,No,49,1,Artist,+20,32938.1444314651,Low,3.0
Male,,33,0,Executive,+20,30008.3877663262,Average,2.0
Male,No,54,1,Doctor,+20,61238.28627808061,Low,3.0
Female,No,34,0,Engineer,10-20,15317.920715262648,Low,9.0
Female,Yes,52,1,Entertainment,+20,39050.17149591188,Low,1.0
Female,Yes,53,1,Artist,0-5,57725.637667681855,Low,1.0
Female,No,27,0,Doctor,5-10,16292.186036699439,Low,4.0
Male,Yes,54,1,Artist,+20,52126.38478494634,Average,3.0
Female,Yes,55,0,Lawyer,5-10,67250.63616018415,High,2.0
Male,No,25,0,Healthcare,0-5,16544.436445455904,Low,8.0
Male,Yes,48,0,Artist,5-10,43170.63072095792,High,6.0
Female,Yes,45,1,Artist,10-20,22841.060630193464,Average,2.0
Male,Yes,32,1,Engineer,10-20,26011.5508044459,Low,2.0
Male,Yes,23,1,Lawyer,0-5,23674.178539545916,Low,2.0
Male,No,52,0,Healthcare,+20,31007.379874593556,Low,4.0
Male,Yes,50,1,Artist,10-20,44789.11696705177,Average,4.0
Male,Yes,57,1,Doctor,+20,52173.0696913997,Average,2.0
Male,Yes,19,0,Engineer,0-5,14533.406537420506,Low,1.0
Male,Yes,57,1,Engineer,+20,72092.93002645252,Average,5.0
Female,Yes,50,1,Artist,+20,49070.115166806296,Average,5.0
Female,No,25,1,Artist,5-10,13095.282472674604,Low,1.0
Female,No,41,0,Marketing,5-10,27975.634667275863,Low,9.0
Female,Yes,33,0,Lawyer,+20,26404.481603468525,High,2.0
Male,Yes,24,1,Artist,0-5,21407.61898374411,Average,3.0
Male,Yes,51,1,Entertainment,10-20,45534.141589449406,Average,6.0
Male,No,18,1,Healthcare,5-10,19209.86865547258,Low,5.0
Female,No,46,0,Healthcare,+20,44402.51725621353,Low,4.0
Male,No,27,1,Marketing,0-5,24506.491988464,Low,2.0
Female,Yes,28,1,Artist,5-10,20822.944436728125,Average,2.0
Female,No,53,1,Doctor,10-20,28876.93126665539,Low,1.0
Female,No,48,1,Entertainment,10-20,132751.6723208266,Low,6.0
Male,Yes,32,0,Artist,5-10,12022.771898463983,High,2.0
Male,No,58,1,Artist,+20,37032.81231909533,Low,1.0
Male,No,30,1,Artist,0-5,17976.20873993435,Low,3.0
Female,No,18,1,Artist,0-5,15598.869648131322,Low,3.0
Female,Yes,44,1,Artist,+20,39414.40450088507,Average,4.0
Male,Yes,59,0,Artist,+20,42166.387077300176,Average,3.0
Male,Yes,19,1,Doctor,0-5,24822.206926025545,Average,2.0
Male,Yes,28,1,Executive,5-10,33319.4633556891,Average,2.0
Female,Yes,36,1,Homemaker,5-10,33192.119746754586,Average,4.0
Male,Yes,40,1,Executive,5-10,32646.121140753596,High,4.0
Female,Yes,47,1,Doctor,+20,45646.03175313746,Average,2.0
Male,No,31,0,Healthcare,10-20,28826.92168324801,Low,5.0
Female,Yes,28,1,Lawyer,0-5,25948.535725213995,High,4.0
Female,Yes,55,1,Artist,+20,20609.085477481167,High,2.0
Female,Yes,48,1,Marketing,+20,43195.05213999231,Low,1.0
Male,No,49,1,Healthcare,+20,25627.851067188676,Low,4.0
Male,Yes,30,1,Artist,0-5,19882.89816639216,Average,2.0
Female,No,59,0,Healthcare,10-20,29891.548682513552,Low,4.0
Male,Yes,22,1,Entertainment,5-10,20709.11756829983,Low,3.0
Male,No,39,0,Healthcare,10-20,22417.957448818583,Low,4.0
Female,Yes,30,1,Artist,0-5,21586.58988317046,Low,2.0
Male,No,26,1,Artist,0-5,15995.720967494071,Low,1.0
Female,Yes,46,0,Homemaker,+20,12571.019040484916,Low,4.0
Male,No,37,1,Entertainment,5-10,21331.628155675884,Low,3.0
Male,Yes,59,1,Artist,0-5,46461.986377368856,Low,2.0
Female,Yes,37,1,Lawyer,5-10,31849.972937071914,High,2.0
Female,No,54,1,Engineer,10-20,39033.69249632905,Low,4.0
Male,Yes,44,1,Entertainment,0-5,37236.018086716154,Low,2.0
Male,Yes,59,1,Artist,+20,16149.10139739419,Low,2.0
Male,No,30,0,Entertainment,0-5,19055.130154329916,Low,3.0
Female,No,52,0,Healthcare,5-10,55245.60248542314,Low,2.0
Male,No,45,0,Healthcare,10-20,30605.4363749217,Low,2.0
Male,Yes,53,0,Lawyer,+20,45554.10409956683,High,2.0
Female,No,32,1,Homemaker,10-20,24073.451919720468,Low,1.0
Male,Yes,52,1,Artist,5-10,25250.596321530316,Average,2.0
Male,Yes,18,1,Entertainment,5-10,19046.044527371545,Average,2.0
Female,No,41,0,,10-20,,Low,3.0
Female,Yes,48,1,Homemaker,+20,51667.73348135718,Low,2.0
Female,No,32,0,Engineer,5-10,25673.416225993515,Low,2.0
Male,Yes,50,0,Artist,0-5,21645.353202125927,Average,4.0
Male,Yes,18,1,Healthcare,0-5,19910.434540907136,Low,2.0
Male,Yes,54,0,Entertainment,10-20,51689.3417773211,Low,
Male,Yes,46,1,Artist,5-10,17011.15149599708,Average,2.0
Male,Yes,36,1,Artist,10-20,34381.79488228497,Average,2.0
Male,No,38,1,Marketing,5-10,24828.458928477103,Low,5.0
Female,Yes,49,1,Artist,+20,39037.11375050391,Average,3.0
Female,No,26,1,Healthcare,10-20,25660.042443626517,Low,
Male,No,53,0,Entertainment,10-20,58487.85173646656,Low,3.0
Female,Yes,37,1,Artist,+20,28241.105548774725,High,4.0
Male,Yes,32,1,Marketing,5-10,22734.009423553664,High,4.0
Female,Yes,44,1,Homemaker,0-5,28498.617576547935,High,2.0
Female,Yes,41,1,Homemaker,5-10,40225.28120826868,Average,3.0
Female,No,45,1,Entertainment,10-20,28811.86403841725,Low,1.0
Male,Yes,49,1,Executive,+20,60818.14313093665,High,5.0
Female,Yes,29,1,Artist,5-10,18612.171325389496,Average,2.0
Male,Yes,40,1,Artist,5-10,41198.49010266058,Average,2.0
Male,Yes,39,1,Lawyer,10-20,28940.014597910933,Low,2.0
Female,Yes,51,1,Artist,+20,18416.955738533972,Average,2.0
Male,No,18,1,Entertainment,0-5,17024.864486408937,Low,2.0
Male,Yes,28,1,Artist,0-5,23698.77921586126,Low,2.0
Female,Yes,58,1,Homemaker,0-5,54975.87977815637,High,2.0
Female,Yes,36,1,Artist,10-20,20817.543831891075,Low,2.0
Male,No,46,0,Healthcare,+20,46546.85857078436,Low,5.0
Female,No,45,1,Artist,10-20,39020.926611564435,Low,1.0
Female,Yes,25,1,Entertainment,0-5,22231.701360482817,Average,2.0
Male,Yes,48,1,Artist,+20,35937.410091035694,High,4.0
Male,Yes,59,0,Artist,+20,71477.09930405881,Low,2.0
Male,No,21,1,Artist,5-10,15650.109076774279,Low,1.0
Male,Yes,27,0,Entertainment,5-10,21404.87154825155,Low,4.0
Male,Yes,26,1,Doctor,10-20,30455.62991006421,Average,2.0
Male,Yes,43,0,Executive,0-5,51887.49535442665,Average,2.0
Male,No,51,0,Healthcare,10-20,28181.005224786048,Low,4.0
Female,Yes,43,1,Lawyer,5-10,47506.04996771984,Low,1.0
Male,Yes,28,1,Executive,0-5,34429.94540849757,High,4.0
Male,No,38,1,Healthcare,10-20,28262.350443675114,Low,4.0
Female,No,38,0,Engineer,10-20,32949.10547604591,Low,2.0
Female,Yes,19,0,Engineer,5-10,15586.269502711462,Average,3.0
Male,Yes,47,0,Executive,+20,45569.48965427201,High,4.0
Male,No,30,0,Healthcare,10-20,17552.251740906664,Low,5.0
Male,Yes,37,0,Artist,10-20,26383.969471375058,Low,1.0
Male,Yes,38,0,Entertainment,10-20,13433.21806895523,Average,5.0
Male,Yes,35,1,Lawyer,10-20,38555.99133527283,High,2.0
Male,Yes,19,1,Executive,5-10,26004.88364122718,High,4.0
Female,No,44,1,Engineer,10-20,48523.38096336875,Low,1.0
Female,No,52,0,Healthcare,+20,47535.37703753726,Low,3.0
Female,No,56,0,Doctor,+20,29917.180163360288,Low,4.0
Female,No,37,0,Homemaker,+20,30016.4791769431,Low,5.0
Female,Yes,27,1,Artist,0-5,20755.563266298115,Average,2.0
Male,No,49,0,Doctor,5-10,23558.36856351348,Low,2.0
Male,No,55,0,Marketing,+20,23961.727370585526,Low,3.0
Male,Yes,50,0,Artist,+20,24926.35537593278,Low,3.0
Male,Yes,54,1,Artist,+20,50623.50122213101,Low,7.0
Male,Yes,23,1,Entertainment,5-10,17448.452556533244,Average,3.0
Male,Yes,35,0,Lawyer,5-10,19986.102632613813,Low,
Male,Yes,49,1,Entertainment,0-5,43348.04445689971,Average,3.0
Male,Yes,42,0,Entertainment,10-20,19639.581138099442,Average,3.0
Female,Yes,38,0,Homemaker,10-20,30346.784000103366,Low,3.0
Female,,43,0,Artist,5-10,40553.78639555613,Low,2.0
Male,Yes,22,0,Entertainment,5-10,16557.49979324521,Average,2.0
Female,No,57,0,Healthcare,5-10,32361.826524302658,Low,4.0
Female,Yes,30,0,Doctor,5-10,29708.0300528051,Low,
Male,Yes,43,0,Artist,10-20,38664.2766622856,Low,4.0
Female,No,47,1,Homemaker,+20,18089.521695008414,Low,1.0
Female,No,20,0,Marketing,0-5,12323.308369920338,Low,
Male,,39,1,Lawyer,5-10,34126.631661201296,High,1.0
Male,Yes,35,1,Artist,10-20,21505.024124374242,Average,2.0
Female,Yes,24,1,Artist,0-5,13243.03249916829,Low,2.0
Male,No,58,0,Doctor,5-10,21636.03610626343,Low,6.0
Male,No,25,0,Healthcare,5-10,15358.368626050396,Low,4.0
Male,No,46,0,Healthcare,+20,46954.80529574855,Low,6.0
Male,Yes,38,0,Artist,5-10,26335.252046762384,Low,2.0
Male,Yes,33,1,Lawyer,10-20,25502.11302565185,High,2.0
Female,No,54,0,Homemaker,0-5,51102.77989093355,Low,1.0
Male,No,21,1,Doctor,5-10,22474.65243521706,Low,3.0
Male,No,25,0,Healthcare,0-5,12108.72004800332,Low,4.0
Female,No,45,0,Doctor,+20,25776.189991562656,Low,4.0
Male,Yes,53,1,Executive,5-10,34046.25594035617,High,3.0
Male,No,23,0,Healthcare,0-5,18280.869066480132,Low,2.0
Male,No,29,0,Healthcare,5-10,21022.926813021815,Low,3.0
Male,No,59,0,Healthcare,+20,55694.56600630315,Low,4.0
Female,No,38,1,Healthcare,10-20,20432.754841880575,Low,6.0
Male,No,21,1,Entertainment,5-10,20617.355922917704,Low,2.0
Male,No,39,1,Marketing,+20,26989.028583793897,Low,
Male,Yes,41,1,Artist,5-10,42012.02422630841,Average,2.0
Male,No,34,1,Doctor,5-10,31412.685999525693,Low,2.0
Male,Yes,55,1,Doctor,+20,41421.41319053665,Average,2.0
Female,Yes,41,1,Engineer,10-20,20953.309045992042,Average,2.0
Male,Yes,53,1,Artist,+20,24473.055078907277,Average,3.0
Male,Yes,51,1,,5-10,,Low,2.0
Female,Yes,35,1,Lawyer,5-10,24717.635229388176,High,2.0
Male,Yes,26,1,Executive,10-20,31705.12347194701,Low,1.0
Male,No,44,0,Healthcare,10-20,40666.299742223266,Low,6.0
Male,No,57,1,Artist,10-20,28537.99073674437,Low,1.0
Male,No,41,1,Artist,+20,29528.180806687127,Low,3.0
Male,Yes,19,0,Artist,0-5,12193.80992487202,Average,3.0
Female,No,41,1,Artist,10-20,28827.6984305213,Low,1.0
Male,No,35,0,Healthcare,10-20,29626.47243588863,Low,4.0
Male,No,43,0,Doctor,10-20,43035.85199974532,Low,4.0
Female,No,43,1,Artist,5-10,25353.886191555353,Low,1.0
Male,Yes,36,0,Executive,10-20,38478.01590310287,Average,3.0
Female,No,49,1,Artist,+20,38846.68605828016,Low,1.0
Female,Yes,52,1,Engineer,+20,23133.799674394428,Average,2.0
Male,Yes,28,1,Doctor,5-10,25793.97355975342,Average,2.0
Male,Yes,55,0,Lawyer,10-20,63969.92795852794,Low,1.0
Male,No,24,0,Artist,0-5,12384.55323636717,Low,1.0
Female,Yes,32,0,Engineer,5-10,22969.97863827683,Low,2.0
Male,No,39,1,Artist,10-20,34587.320347528526,Low,3.0
Male,No,28,0,Engineer,0-5,15333.152573928775,Low,4.0
Male,Yes,47,0,Marketing,+20,44634.10008622349,Low,2.0
Male,Yes,55,1,Artist,5-10,66352.87914067938,Low,1.0
Female,No,32,1,Engineer,5-10,30741.794721211372,Low,1.0
Female,Yes,28,1,Artist,0-5,20915.311968547703,Low,4.0
Male,Yes,27,1,Artist,0-5,22961.7423521072,Average,2.0
Male,Yes,54,1,Doctor,+20,276041.9647085856,High,2.0
Male,Yes,26,1,Artist,0-5,16822.244868535367,Low,2.0
Male,No,26,0,Healthcare,0-5,13199.147815695425,Low,3.0
Male,Yes,27,1,Doctor,5-10,31421.1366633693,Low,2.0
Male,No,37,0,Healthcare,10-20,15701.721229403842,Low,5.0
Female,Yes,25,0,Engineer,10-20,19079.407216840416,Average,6.0
Male,Yes,48,0,Lawyer,10-20,26124.192899654372,Low,2.0
Male,Yes,29,1,Artist,5-10,22637.45861271971,Low,1.0
Female,Yes,50,1,Executive,5-10,27780.738062143602,High,5.0
Male,No,20,1,Entertainment,0-5,16779.095144475046,Low,2.0
Male,Yes,44,1,Entertainment,10-20,29110.179690248926,Low,2.0
Male,Yes,52,1,Artist,+20,15682.112097604795,Low,1.0
Female,Yes,58,1,Marketing,5-10,18837.62878718758,Low,2.0
Male,Yes,36,1,Artist,10-20,19457.910231220245,Low,2.0
Male,No,32,0,Entertainment,5-10,12332.70921335193,Low,1.0
Male,Yes,31,0,Executive,5-10,27794.217806297165,High,2.0
Female,Yes,28,1,Artist,0-5,20986.065695215708,High,4.0
Female,No,56,0,Artist,10-20,63286.33043914528,Low,2.0
Male,Yes,55,1,Executive,+20,51423.029550811974,High,3.0
Male,No,45,1,Doctor,+20,49411.03795710719,Low,1.0
Female,Yes,36,1,Artist,10-20,20174.06541485415,High,4.0
Female,Yes,32,1,Doctor,10-20,33104.824142193465,High,4.0
Female,No,55,0,Doctor,10-20,51540.320789081714,Low,2.0
Female,Yes,56,0,Artist,+20,22110.500074019492,Average,3.0
